country,iso3,region,HealthExpPC.Govt.exch,HealthExpPC.Tot.ppp,HealthExpPC.Govt.ppp,HealthExpPC.Tot.exch,total,govt,private,sex,lifeexp.Birth,lifeexp.At60,smoking.tobacco.current,smoking.tobacco.daily,smoking.cig.current,smoking.cig.daily,Pop.Total,Pop.MedAge,Pop.pCntUnder15,Pop.pCntOver60,Pop.pCntAnnGrowth,consumption.cigPC,hiv_prev15_49
Barbados,BRB,AMR,659.92,1600.32,1024.6,1030.72,1600.32,1024.6,575.72,MLE,75,21,13,9,13,9,283,36.68,18.99,15.78,-0.4,344,0.9
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Barbados,BRB,AMR,659.92,1600.32,1024.6,1030.72,1600.32,1024.6,575.72,BTSX,78,23,7,5,7,5,283,36.68,18.99,15.78,-0.4,344,0.9
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Barbados,BRB,AMR,659.92,1600.32,1024.6,1030.72,1600.32,1024.6,575.72,FMLE,80,25,1,0,1,0,283,36.68,18.99,15.78,-0.4,344,0.9
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Brunei Darussalam,BRN,WPR,844.9,1295.46,1101.79,993.42,1295.46,1101.79,193.67,BTSX,77,21,18,13,15,10,412,30.14,25.75,7.03,-1.2,751,NA
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Brunei Darussalam,BRN,WPR,844.9,1295.46,1101.79,993.42,1295.46,1101.79,193.67,FMLE,78,21,4,3,3,2,412,30.14,25.75,7.03,-1.2,751,NA
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Brunei Darussalam,BRN,WPR,844.9,1295.46,1101.79,993.42,1295.46,1101.79,193.67,MLE,76,20,32,22,27,18,412,30.14,25.75,7.03,-1.2,751,NA
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,BTN,SEAR,78.01,236.22,198.13,93.01,236.22,198.13,38.09,MLE,66,18,NA,NA,NA,NA,742,25.29,28.53,6.9,-1.8,120,0.3
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,BTN,SEAR,78.01,236.22,198.13,93.01,236.22,198.13,38.09,FMLE,69,19,NA,NA,NA,NA,742,25.29,28.53,6.9,-1.8,120,0.3
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,BTN,SEAR,78.01,236.22,198.13,93.01,236.22,198.13,38.09,BTSX,67,18,NA,NA,NA,NA,742,25.29,28.53,6.9,-1.8,120,0.3
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Botswana,BWA,AFR,262.64,734.06,446.37,431.91,734.06,446.37,287.69,FMLE,67,18,NA,NA,2,0,2004,22.33,33.75,5.63,-0.9,336,23.4
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Botswana,BWA,AFR,262.64,734.06,446.37,431.91,734.06,446.37,287.69,BTSX,66,17,NA,NA,11,8,2004,22.33,33.75,5.63,-0.9,336,23.4
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Botswana,BWA,AFR,262.64,734.06,446.37,431.91,734.06,446.37,287.69,MLE,64,16,NA,NA,20,15,2004,22.33,33.75,5.63,-0.9,336,23.4
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Central African Republic,CAF,AFR,9.49,30.9,16.05,18.28,30.9,16.05,14.85,BTSX,48,16,NA,NA,NA,NA,4525,19.59,40.07,5.74,-2,102,4.6
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Central African Republic,CAF,AFR,9.49,30.9,16.05,18.28,30.9,16.05,14.85,FMLE,50,16,NA,NA,NA,NA,4525,19.59,40.07,5.74,-2,102,4.6
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Central African Republic,CAF,AFR,9.49,30.9,16.05,18.28,30.9,16.05,14.85,MLE,47,15,NA,NA,NA,NA,4525,19.59,40.07,5.74,-2,102,4.6
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Canada,CAN,AMR,3964.06,4519.96,3182.64,5629.73,4519.96,3182.64,1337.32,MLE,80,23,24,15,19,15,34838,39.99,16.37,20.82,-1,809,0.3
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Canada,CAN,AMR,3964.06,4519.96,3182.64,5629.73,4519.96,3182.64,1337.32,BTSX,82,25,20,14,17,14,34838,39.99,16.37,20.82,-1,809,0.3
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Canada,CAN,AMR,3964.06,4519.96,3182.64,5629.73,4519.96,3182.64,1337.32,FMLE,84,26,17,12,16,12,34838,39.99,16.37,20.82,-1,809,0.3
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,CHE,EUR,5966.48,5564.25,3639.92,9120.81,5564.25,3639.92,1924.33,BTSX,83,25,26,19,26,19,7997,41.85,14.79,23.25,-1,1722,0.4
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,CHE,EUR,5966.48,5564.25,3639.92,9120.81,5564.25,3639.92,1924.33,FMLE,85,27,21,15,21,15,7997,41.85,14.79,23.25,-1,1722,0.4
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,CHE,EUR,5966.48,5564.25,3639.92,9120.81,5564.25,3639.92,1924.33,MLE,80,23,31,23,31,23,7997,41.85,14.79,23.25,-1,1722,0.4
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,AMR,504.53,1292.2,606.74,1074.52,1292.2,606.74,685.46,MLE,76,21,38,36,37,35,17465,32.76,21.38,13.8,-0.9,860,0.5
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,AMR,504.53,1292.2,606.74,1074.52,1292.2,606.74,685.46,FMLE,82,25,33,33,30,29,17465,32.76,21.38,13.8,-0.9,860,0.5
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
